user_id,name,contact,location_id
1,"Eja Wastuti, M.TI.",6674992132660,3273
2,Cemeti Dongoran,8170210968552,3273
3,Luthfi Zulkarnain,1164468969497,3172
4,"H. Harsanto Puspasari, S.Pd",9433389816694,7371
5,"Dt. Emil Mulyani, M.Pd",7855479755371,3172
6,"Hj. Vivi Wahyudin, S.E.",5824252260748,3172
7,Drs. Kiandra Saragih,1255631309296,3578
8,Tiara Sudiati,3383927501273,3273
9,Labuh Kurniawan,6835844748493,3578
10,Cayadi Hasanah,1463715324609,1371
11,"Tgk. Alika Puspita, S.E.I",2521285581418,5171
12,Vicky Mandasari,7365148171852,3172
13,Opan Nashiruddin,1802958127011,3273
14,Darmaji Firmansyah,3810521670571,3578
15,"Drs. Patricia Ramadan, S.Ked",8674378956808,3578
16,Salman Zulkarnain,3166447400426,3171
17,Vanya Pratiwi,7307682997773,3273
18,"R. Ana Uyainah, S.T.",6357200468869,3578
19,Gamblang Budiyanto,3245415403161,7371
20,"Jasmin Kusmawati, S.Kom",7905359483224,3172
21,"Cakrajiya Pratiwi, S.Kom",3289087836583,3471
22,Laras Pranowo,9522876289194,3578
23,"Mulyono Sihombing, S.IP",4110446480806,1371
24,Jaeman Fujiati,4394032795699,1371
25,Cagak Pangestu,0709076255169,3175
26,Indra Saragih,4362263542676,3573
27,R. Halima Firmansyah,9115306487263,3172
28,Agnes Pradana,6105148976875,3175
29,Gadang Putra,8972168043423,1371
30,"Ir. Citra Rajasa, S.Ked",6862291724683,3273
31,Puspa Sihombing,4938381232606,3172
32,Jarwa Nababan,4301852554501,3174
33,Gadang Haryanto,9318063658981,1371
34,Ella Zulaika,7874389990271,3172
35,Drs. Prasetyo Mandala,1737901393870,3171
36,"Tgk. Ade Ramadan, S.I.Kom",1922876842858,6472
37,Diana Prasetyo,3915474233478,3172
38,Cecep Pranowo,9549505845580,6471
39,"Ir. Rahmi Hutapea, S.H.",1478929911823,3172
40,Titin Tampubolon,3800720070930,1375
41,Tgk. Cahyanto Hardiansyah,1657459465711,3173
42,"drg. Rafi Nurdiyanti, S.H.",6902698735261,3273
43,"Hj. Almira Tamba, S.Kom",2345159827103,1375
44,Wira Nurdiyanti,3458502333598,7371
45,"Zahra Mansur, M.TI.",4865761517927,1375
46,Belinda Najmudin,1164273253822,3173
47,Prayogo Oktaviani,6636171035581,6471
48,"Ir. Embuh Waluyo, S.Gz",1146340291261,3172
49,R. Umaya Winarno,1810517214668,7371
50,Rika Napitupulu,5580403083690,3578
51,Yuliana Megantara,1602500596290,3273
52,"Anggabaya Winarsih, S.H.",4213190723216,3471
53,Siti Andriani,6251619486052,3171
54,Uchita Marbun,8167878467463,3578
55,Suci Widodo,4939608757997,3173
56,Septi Firgantoro,1904102014752,3471
57,drg. Kiandra Hassanah,8794102982391,3174
58,Qori Puspita,9291190694192,3171
59,Ophelia Kusmawati,1764881307760,3573
60,Patricia Namaga,8054318913728,3471
61,Pia Samosir,5237550368376,1371
62,Dr. Taufik Marpaung,1767256047492,3174
63,"Ir. Gina Prasetya, S.Sos",0479940892392,3174
64,"Sabar Wulandari, S.Pt",5702888734416,3175
65,drg. Panca Budiman,6884110690438,3172
66,"Drs. Ratih Megantara, S.E.I",7138060946973,3573
67,Ajeng Namaga,8988325811411,5171
68,Lukita Samosir,3967605739647,3471
69,Asmuni Wibowo,3925095990514,3171
70,Darsirah Najmudin,7048519671887,1371
71,Kamidin Saragih,1067588765282,6472
72,dr. Vanya Lailasari,5163715553321,3174
73,Jarwadi Prayoga,1074497339891,3173
74,"Padma Wibowo, S.Pd",8463490389521,3172
75,Bakiadi Megantara,5319149844696,3273
76,"Dr. Kamaria Pratama, M.M.",9729102899767,6471
77,"Mursita Lazuardi, M.Farm",5878010982597,6471
78,Edison Pradipta,2685743805987,5171
79,Tami Nurdiyanti,3020941479266,3471
80,Bakianto Sihombing,0437677801009,7371
81,Candra Mahendra,5556968216596,3172
82,Edi Riyanti,6530971777081,7371
83,Puput Kusumo,0917243054414,5171
84,"Argono Winarsih, S.I.Kom",1811152291947,3173
85,dr. Lala Haryanto,2920282631895,7371
86,R.M. Prayoga Usada,7068546439278,3578
87,Caket Kusumo,2137336812668,7371
88,Ghaliyati Tamba,0777560033380,3173
89,R.A. Dalima Pertiwi,1163259476840,3273
90,Puti Nadine Wibisono,1595894426428,3173
91,"Uchita Zulkarnain, M.Pd",4305364988287,1375
92,drg. Intan Pranowo,7970520927990,7371
93,"R.M. Kamal Damanik, M.Pd",2558489185241,3273
94,"Kamila Hartati, S.Psi",8166148664252,3273
95,Rafid Siregar,9782327512954,3273
96,Rudi Siregar,1103504654768,3573
97,Melinda Rajasa,5004019876635,5171
98,Gangsa Mulyani,7345814625186,3573
99,"Hj. Shakila Sihombing, M.M.",8534476795993,6472
100,Patricia Sudiati,4150400716133,3171
